verbo|traducao|exemplo|nivel
probieren|experimentar, provar|Möchten Sie dieses Gericht probieren?|A2
putzen|limpar, escovar|Ich muss noch das Bad putzen.|A2
reagieren|reagir|Wie hat er reagiert?|A2
rennen|correr, disparar|Die Kinder rennen auf dem Spielplatz.|A2
rufen|chamar, ligar (telef.)|Ich rufe dich später an.|A2
sammeln|colecionar, juntar|Er sammelt alte Münzen.|A2
saugen|aspirar (pó)|Ich muss heute noch staubsaugen.|A2
schneiden|cortar|Bitte schneide das Gemüse.|A2
setzen (sich)|sentar-se|Setz dich bitte auf den Stuhl.|A2
spazieren|passear (ver também: spazieren gehen)|Wir gehen oft spazieren.|A2
speichern|salvar, armazenar|Vergiss nicht, die Datei zu speichern.|A2
springen|pular|Die Kinder springen auf dem Trampolin.|A2
stecken|enfiar, colocar|Steck den Schlüssel in die Tasche.|A2
stellen|colocar (em pé)|Stell die Flasche auf den Tisch.|A2
stressen|estressar (alguém ou a si mesmo)|Die Arbeit stresst mich sehr.|A2
suchen (nach D)|procurar (por)|Ich suche nach meinem Handy.|A2
teilnehmen an D|participar de|Möchten Sie am Kurs teilnehmen?|A2
testen|testar|Wir müssen das neue Programm testen.|A2
tragen|carregar, usar (roupa)|Sie trägt eine schöne Kette.|A2
trennen (sich)|separar-se|Sie haben sich getrennt.|A2
trocknen|secar|Die Wäsche trocknet schnell in der Sonne.|A2
träumen von D|sonhar com|Ich träume von einem Urlaub.|A2
treffen|encontrar, acertar|Wir treffen uns um 8 Uhr.|A2
treten|pisar, chutar, entrar (formal)|Er tritt die Tür auf.|A2
umtauschen|trocar (dinheiro, mercadoria)|Ich möchte Euro in Dollar umtauschen.|A2
umziehen|mudar-se (de residência), trocar de roupa|Wir sind letztes Jahr umgezogen.|A2
vergessen|esquecer|Ich habe meinen Schlüssel vergessen.|A2
verheiraten|casar (alguém), estar casado (com sein)|Sie ist verheiratet.|A2
verändern|mudar, alterar|Das Leben verändert sich schnell.|A2
verkaufen|vender|Ich möchte mein altes Auto verkaufen.|A2
verliebt sein in A|estar apaixonado por|Er ist in sie verliebt.|A2
verloben (sich)|noivar-se|Sie haben sich verlobt.|A2
verlieren|perder|Ich habe meinen Schlüssel verloren.|A2
verpassen|perder (oportunidade, transporte)|Ich habe den Bus verpasst.|A2
versprechen|prometer|Ich verspreche es dir.|A2
versuchen|tentar|Ich werde es versuchen.|A2
ablegen|prestar, fazer (exame)|Er muss eine Prüfung ablegen.|B1
ablehnen|recusar, rejeitar|Sie hat mein Angebot abgelehnt.|B1
abschalten|desligar, relaxar|Ich muss nach der Arbeit abschalten.|B1
abschließen|fechar com chave, concluir|Vergiss nicht, die Tür abzuschließen.|B1
absagen|cancelar|Wir müssen den Termin absagen.|B1
absolvieren|concluir, cursar|Sie hat ihr Studium erfolgreich absolviert.|B1
abstimmen|votar, coordenar|Wir müssen über den Vorschlag abstimmen.|B1
abteilen|dividir, separar|Man kann den Raum abteilen.|B1
abtrocknen|secar (louça, corpo)|Bitte trockne das Geschirr ab.|B1
abwarten|aguardar|Wir müssen die Ergebnisse abwarten.|B1
agieren|agir, atuar|Der Schauspieler agiert sehr überzeugend.|B1
ändern|mudar, alterar|Sie sollten Ihre Meinung ändern.|B1
anerkennen|reconhecer, aceitar|Man muss seine Fehler anerkennen.|B1
anfangen|começar, iniciar|Der Film fängt um 20 Uhr an.|B1
anhaben|vestir, ter (algo vestido)|Sie hat ein schönes Kleid an.|B1
anhalten|parar (veículo), segurar|Der Bus hält an der nächsten Haltestelle.|B1
annehmen|aceitar, supor|Ich nehme an, du hast Hunger.|B1
anprobieren|experimentar (roupa)|Möchten Sie diese Hose anprobieren?|B1
anstellen|ligar (aparelho), colocar (em fila)|Bitte stell den Fernseher an.|B1
anstreben|almejar, aspirar a|Sie strebt eine Karriere als Ärztin an.|B1
aufgeben|desistir, postar, entregar|Ich gebe nicht auf!|B1
aufheben|guardar, levantar, cancelar|Heb bitte den Stift auf.|B1
auflegen|desligar (telefone), colocar|Er hat einfach aufgelegt.|B1
aufnehmen|gravar, acolher, absorver|Wir nehmen ein Lied auf.|B1
ausbilden|formar, treinar|Die Firma bildet neue Mitarbeiter aus.|B1
auspacken|desempacotar|Ich muss noch meine Koffer auspacken.|B1
ausreichen|ser suficiente|Das Geld reicht nicht aus.|B1
ausverkaufen|esgotar (venda)|Das Konzert ist ausverkauft.|B1
beachten|observar, prestar atenção|Bitte beachten Sie die Regeln.|B1
bearbeiten|editar, processar|Ich muss diesen Text bearbeiten.|B1
bedrohen|ameaçar|Der Klimawandel bedroht unsere Zukunft.|B1
beeinflussen|influenciar|Man sollte sich nicht so leicht beeinflussen lassen.|B1
befördern|promover, transportar|Er wurde befördert.|B1
begründen|justificar, fundamentar|Können Sie Ihre Meinung begründen?|B1
beginnen mit D|começar com|Wir beginnen mit dem Unterricht.|B1
beleidigen|ofender|Er hat mich beleidigt.|B1
bemerken|notar, perceber|Ich habe seinen Fehler bemerkt.|B1
beraten|aconselhar|Der Experte berät uns.|B1
berufen|nomear, invocar|Er wurde in den Vorstand berufen.|B1
berühren|tocar, sentir|Man darf die Kunstwerke nicht berühren.|B1
beschäftigen (sich mit D)|ocupar-se com|Ich beschäftige mich mit Sport.|B1
beschließen|decidir, resolver|Wir haben beschlossen, umzuziehen.|B1
bestehen aus D|consistir em, ser composto de|Das Team besteht aus fünf Personen.|B1
bestimmen|determinar, definir|Du bestimmst, was wir machen.|B1
beten|orar, rezar|Sie betet jeden Abend.|B1
betreuen|cuidar, supervisionar|Sie betreut alte Menschen.|B1
bewegen (sich)|mover-se, exercitar-se|Man sollte sich regelmäßig bewegen.|B1
bewirken|causar, provocar, efetuar|Seine Worte haben viel bewirkt.|B1
bieten|oferecer|Das Restaurant bietet viele Gerichte.|B1
bilden|formar, construir|Der Schnee bildet eine dicke Schicht.|B1
blocken|bloquear|Der Torwart konnte den Ball blocken.|B1
blühen|florir|Die Blumen blühen im Frühling.|B1
brechen|quebrar, vomitar|Er hat sich das Bein gebrochen.|B1
brennen|queimar, arder|Das Feuer brennt.|B1
bürsten|escovar|Sie bürstet ihr Haar.|B1
dämpfen|abafar, cozinhar no vapor|Das Gemüse wird gedämpft.|B1
dauern|durar|Wie lange dauert der Flug?|B1
dienen|servir|Dieses Werkzeug dient zum Öffnen von Flaschen.|B1
drehen|girar, virar|Dreh dich bitte um.|B1
drücken|apertar, empurrar|Drück den Knopf.|B1
duzen|tratar por du (você informal)|Wir duzen uns hier in der Firma.|B1
durchfallen durch A|reprovar, falhar em (exame)|Er ist durch die Prüfung gefallen.|B1
durchsagen|anunciar, comunicar por alto-falante|Die Ankunftszeit wurde durchgesagt.|B1
ehelichen|casar-se com (arcaico, formal)|Er ehelichte seine Jugendliebe.|B1
eilen|apressar-se, ter pressa|Ich muss eilen, sonst komme ich zu spät.|B1
einfallen|ocorrer, vir à mente|Mir ist eine gute Idee eingefallen.|B1
einfrieren|congelar|Man kann Brot einfrieren.|B1
einführen|introduzir, importar|Dieses neue Produkt wird im Herbst eingeführt.|B1
einpacken|empacotar, embrulhar|Ich muss noch meine Geschenke einpacken.|B1
einreichen|apresentar, submeter|Bitte reichen Sie die Unterlagen bis Freitag ein.|B1
einrichten|mobiliar, organizar, instalar|Wir richten gerade unsere neue Wohnung ein.|B1
einschreiben|matricular-se, registrar|Sie möchte sich für den Kurs einschreiben.|B1
einschenken|servir (bebida)|Soll ich dir noch einen Wein einschenken?|B1
einstellen|contratar, ajustar, parar|Die Firma stellt neue Mitarbeiter ein.|B1
eintreten in A|entrar em (organização, partido)|Er ist in den Verein eingetreten.|B1
einwandern|imigrar|Viele Menschen wandern nach Deutschland ein.|B1
einwerfen|jogar (carta em caixa de correio), inserir (moeda)|Bitte werfen Sie den Brief in den Briefkasten ein.|B1
ermöglichen|possibilitar|Technologie ermöglicht uns vieles.|B1
ernähren (sich)|alimentar-se|Man sollte sich gesund ernähren.|B1
erreichen|alcançar, conseguir, chegar|Ich konnte ihn telefonisch nicht erreichen.|B1
erschweren|dificultar|Der Regen erschwert die Fahrt.|B1
erziehen|educar|Sie erzieht ihre Kinder liebevoll.|B1
erzielen|alcançar, obter (resultado, meta)|Er hat ein gutes Ergebnis erzielt.|B1
exisitieren|existir|Viele alte Traditionen existieren noch.|B1
fällen|derrubar (árvore), julgar|Der Förster muss Bäume fällen.|B1
fangen|pegar, capturar|Der Hund fängt den Ball.|B1
fassen|pegar, segurar, compreender|Ich kann es nicht fassen!|B1
festlegen|fixar, determinar|Wir müssen den Termin festlegen.|B1
festnehmen|prender, deter|Die Polizei hat den Dieb festgenommen.|B1
feststellen|constatar, verificar|Er stellte fest, dass die Tür offen war.|B1
filmen|filmar|Sie filmen eine Dokumentation.|B1
fischen|pescar|Wir fischen im Fluss.|B1
fließen|fluir, correr (água)|Das Wasser fließt schnell.|B1
folgen|seguir|Folgen Sie mir bitte!|B1
fördern|promover, apoiar, extrair|Die Regierung fördert kleine Unternehmen.|B1
fordern|exigir, reivindicar|Die Arbeiter fordern höhere Löhne.|B1
fotografieren|fotografar|Sie fotografiert gern Landschaften.|B1
frittieren|fritar (em óleo quente)|Pommes frites werden frittiert.|B1
füllen|encher|Bitte füllen Sie das Glas mit Wasser.|B1
garen|cozinhar (em geral, até o ponto certo)|Das Fleisch muss noch garen.|B1
gebrauchen|usar, utilizar (formal, antiquado)|Man kann dieses alte Gerät noch gebrauchen.|B1
geschehen|acontecer, ocorrer|Was ist geschehen?|B1
gewöhnen (sich an A)|acostumar-se a|Ich muss mich an das neue Wetter gewöhnen.|B1
gießen|regar, derramar, fundir|Bitte gieß die Blumen.|B1
gründen|fundar, estabelecer|Sie haben ein neues Unternehmen gegründet.|B1
halbieren (sich)|dividir-se pela metade, reduzir-se pela metade|Die Zahl der Teilnehmer hat sich halbiert.|B1
handeln|agir, negociar, lidar com|Man muss schnell handeln.|B1
heben|levantar|Er hebt das Paket hoch.|B1
herausfordern|desafiar|Diese Aufgabe fordert mich heraus.|B1
herstellen|produzir, fabricar|Diese Firma stellt Autos her.|B1
hinlegen|deitar-se|Ich muss mich kurz hinlegen.|B1
hinsetzen|sentar-se|Setz dich bitte hierhin.|B1
hungern|passar fome|Viele Menschen hungern in dieser Region.|B1
informieren (sich bei D über A)|informar-se com (alguém) sobre (algo)|Ich muss mich bei ihm über den Kurs informieren.|B1
installieren|instalar|Wir müssen die neue Software installieren.|B1
internationalisieren|internacionalizar|Das Unternehmen möchte seine Produkte internationalisieren.|B1
isolieren (sich von D)|isolar-se de|Manchmal möchte ich mich von allen isolieren.|B1
kämmen|pentear|Sie kämmt sich jeden Morgen die Haare.|B1
kämpfen|lutar, combater|Sie kämpfen für ihre Rechte.|B1
kürzen|encurtar, reduzir|Man muss den Text kürzen.|B1
kündigen|demitir, rescindir, renunciar|Er hat seine Wohnung gekündigt.|B1
lecken an D|lamber|Der Hund leckt an seiner Pfote.|B1
leiden an A / unter D|sofrer de (doença) / sofrer com (situação)|Sie leidet an einer Erkältung.|B1
leisten|realizar, proporcionar|Er leistet gute Arbeit.|B1
leiten|liderar, dirigir, conduzir|Sie leitet ein großes Team.|B1
lehren|ensinar|Er lehrt Englisch an der Universität.|B1
loben|elogiar|Die Lehrerin lobt die Schüler.|B1
lohnen (sich)|valer a pena|Es lohnt sich, früh aufzustehen.|B1
lügen|mentir|Du sollst nicht lügen.|B1
managen|gerenciar|Sie managt ein internationales Projekt.|B1
melden|avisar, reportar, registrar|Bitte melden Sie sich am Empfang.|B1
mieten|alugar|Wir möchten ein Auto mieten.|B1
mobilisieren|mobilizar|Die neue Kampagne soll die Wähler mobilisieren.|B1
modernisieren|modernizar|Die alte Küche wird modernisiert.|B1
möblieren|mobiliar|Die Wohnung ist komplett möbliert.|B1
nachdenken über A|pensar sobre|Ich muss über dein Angebot nachdenken.|B1
nachfüllen|reabastecer, recarregar|Kannst du bitte den Drucker nachfüllen?|B1
nutzen|usar, aproveitar|Nutzen Sie die Gelegenheit!|B1
öffnen|abrir|Das Geschäft öffnet um 9 Uhr.|B1
pfeifen|assobiar|Er pfeift ein Lied.|B1
pflanzen|plantar|Wir pflanzen Bäume im Garten.|B1
pflücken|colher (flores, frutas)|Die Kinder pflücken Blumen.|B1
philosophieren|filosofar|Sie sitzen oft zusammen und philosophieren über das Leben.|B1
prämieren|premiar|Der beste Film wurde prämiert.|B1
rechnen|calcular, contar|Kannst du schnell rechnen?|B1
reduzieren|reduzir|Wir müssen den Müll reduzieren.|B1
regelmäßig|regularmente (usado como advérbio, mas pode implicar ação regular)|Man sollte regelmäßig Sport treiben.|B1
reinigen|limpar, purificar|Die Kleidung muss gereinigt werden.|B1
reklamieren|reclamar|Ich möchte diese Ware reklamieren.|B1
retten|salvar|Die Feuerwehr konnte das Kind retten.|B1
riskieren|arriscar|Er riskiert alles für seinen Traum.|B1
rollen|rolar|Der Ball rollt den Hügel hinunter.|B1
sagen|dizer|Was hast du gesagt?|B1
salzen|salgar|Bitte salzen Sie das Essen.|B1
schaffen|conseguir, criar, dar conta|Ich schaffe das!|B1
schätzen|estimar, valorizar|Ich schätze deine Hilfe sehr.|B1
scheinen|brilhar, parecer|Die Sonne scheint heute.|B1
schieben|empurrar, deslizar|Schieb den Stuhl näher heran.|B1
schlimm|ruim, grave (usado com sein)|Das ist nicht so schlimm.|B1
abdrängen|forçar para fora, empurrar|Das Auto wurde von der Straße abgedrängt.|B2
abfahren|partir (veículo), desviar|Der Zug ist pünktlich abgefahren.|B2
abheben|sacar (dinheiro), decolar|Ich möchte Geld vom Konto abheben.|B2
abhören|interceptar, escutar clandestinamente|Der Geheimdienst hat seine Telefongespräche abgehört.|B2
ablösen von D|substituir, descolar-se de|Der neue Chef löst den alten ab.|B2
abschleppen|remover (veículo), rebocar|Mein Auto wurde abgeschleppt.|B2
abschneiden|cortar, obter (resultado)|Er hat bei der Prüfung gut abgeschnitten.|B2
absichern|garantir, proteger|Man muss die Baustelle absichern.|B2
abteilen|dividir, separar|Der Raum kann abgeteilt werden.|B2
anfahren|atropelar (com veículo), iniciar a marcha|Der Busfahrer hat eine Person angefahren.|B2
angeben|informar, indicar, vangloriar-se|Bitte geben Sie Ihre Daten an.|B2
anführen|liderar, citar|Er führte die Gruppe an.|B2
anhaltend|persistente (usado como advérbio)|Der Regen hält anhaltend an.|B2
ankurbeln|impulsionar, estimular|Die Wirtschaft muss angekurbelt werden.|B2
anschnallen|afivelar (cinto de segurança)|Bitte schnallen Sie sich an.|B2
anstauen|represar, acumular|Das Wasser wird angestaut.|B2
anweisen|instruir, designar|Er wurde angewiesen, die Arbeit zu erledigen.|B2
ausbauen|expandir, aprimorar, desmontar|Wir wollen unser Geschäft ausbauen.|B2
ausfallen|ser cancelado, cair (cabelo), faltar|Der Unterricht ist heute ausgefallen.|B2
ausstatten mit D|equipar com|Das Zimmer ist mit modernen Möbeln ausgestattet.|B2
aussterben|extinguir-se|Viele Tierarten sterben aus.|B2
ausstoßen|emitir, expelir|Fabriken stoßen viel CO2 aus.|B2
ausweiten (sich)|expandir-se, alargar-se|Der Konflikt könnte sich ausweiten.|B2
bearbeiten|processar, editar|Ich muss das Dokument bearbeiten.|B2
beanspruchen|reivindicar, exigir, sobrecarregar|Die Arbeit beansprucht viel Zeit.|B2
befahren|trafegar, navegar (por);|Dieses Gebiet darf nicht befahren werden.|B2
befördern|promover, transportar|Er wurde zum Abteilungsleiter befördert.|B2
befürchten|temer, recear|Ich befürchte das Schlimmste.|B2
begreifen|compreender, entender|Ich begreife das Problem nicht.|B2
bekennen (sich)|confessar, declarar-se|Er hat sich zu seiner Schuld bekannt.|B2
belasten|onerar, carregar, poluir|Der Verkehr belastet die Umwelt.|B2
belästigen|incomodar, assediar|Er hat sie belästigt.|B2
benötigen|necessitar, precisar|Wir benötigen mehr Informationen.|B2
benoten|dar nota, classificar|Der Lehrer benotet die Schüler.|B2
bergen|esconder, conter, resgatar|Die Truhe birgt einen Schatz.|B2
besetzen|ocupar, preencher (cargo);|Die Stelle ist bereits besetzt.|B2
beseitigen|eliminar, remover|Man muss das Problem beseitigen.|B2
bestätigen|confirmar, comprovar|Bitte bestätigen Sie den Empfang der E-Mail.|B2
betätigen (sich)|ativar-se, exercer (atividade);|Er betätigt sich politisch.|B2
betreiben|operar, praticar, exercer|Er betreibt ein kleines Geschäft.|B2
betten|colocar na cama, encaixar|Sie bettete das Baby sanft in sein Bett.|B2
bewahren|preservar, guardar|Man muss die Natur bewahren.|B2
bewerten|avaliar, julgar|Der Professor bewertet die Arbeiten.|B2
bewilligen|conceder, autorizar|Der Antrag wurde bewilligt.|B2
binden|amarrar, ligar, unir|Er bindet seine Schuhe.|B2
blasen|soprar|Der Wind bläst stark.|B2
blitzen|relampejar, piscar (radar)|Es blitzt am Himmel.|B2
blockieren|bloquear|Die Straße ist blockiert.|B2
brauen|fabricar (cerveja), preparar (tempestade)|Er braut sein eigenes Bier.|B2
cremen|aplicar creme|Sie cremt sich jeden Morgen ein.|B2
dämpfen|amortecer, abafar, cozinhar a vapor|Der Vorhang dämpft das Licht.|B2
decken|cobrir, pôr a mesa|Sie deckt den Tisch für das Abendessen.|B2
durchführen|realizar, executar|Wir werden eine Umfrage durchführen.|B2
durchlaufen|atravessar correndo, percorrer, passar por|Er hat eine harte Schule durchlaufen.|B2
eingehen auf A|aceitar, atender (a), responder (a)|Er geht auf ihre Wünsche ein.|B2
eingreifen in A|intervir em|Die Regierung muss eingreifen.|B2
einschätzen|estimar, avaliar|Ich kann die Situation nicht einschätzen.|B2
einschulen|matricular (criança) na escola|Die Kinder werden im Herbst eingeschult.|B2
einwirken auf A|influenciar, agir sobre|Das Medikament wirkt auf den Körper ein.|B2
enden|terminar, finalizar|Die Vorstellung endet um 22 Uhr.|B2
