verbo|traducao|exemplo|nivel
der Cousin, -s / die Cousine, -n|o primo / a prima|Meine Cousine wohnt in Köln.|A1
das Dach, -er|o telhado|Das Haus hat ein rotes Dach.|A2
das Datum, die Daten|a data|Welches Datum haben wir heute?|A2
die Disco, -s (die Discothek, -en)|a discoteca|Wir gehen am Samstag in die Disco.|A1
die Diskussion, -en|a discussão|Die Diskussion war sehr interessant.|A1
der Doktor, -en|o doutor|Der Doktor kommt gleich.|A2
das Dokument, -e|o documento|Bitte senden Sie mir das Dokument.|A2
die Dose, -n|a lata|Ich kaufe eine Dose Cola.|A2
der Drucker, -|a impressora|Der Drucker ist kaputt.|A2
die Dusche, -n|o chuveiro|Ich nehme eine Dusche.|A1
die E-Mail, -s|o e-mail|Ich schreibe eine E-Mail.|A1
das Eis (kein Plural)|o gelo, o sorvete|Ich esse gern Eis.|A2
der Elektriker, - / die Elektrikerin, -nen|o eletricista / a eletricista|Der Elektriker repariert die Lampe.|A1
die Eltern (nur Plural)|os pais|Meine Eltern leben in Deutschland.|A1
die Einladung, -en|o convite|Danke für die Einladung!|A1
der Einkauf, -e|a compra|Ich gehe einkaufen.|A2
der Eingang, -e|a entrada|Der Eingang ist links.|A2
die Einzahlung, -en|o depósito|Ich mache eine Einzahlung auf mein Konto.|A2
das Einzelzimmer, -|o quarto individual|Ich brauche ein Einzelzimmer.|A2
der Enkel, -|o neto|Mein Enkel ist süß.|A1
die Energie, -n|a energia|Wir brauchen mehr Energie.|A2
das Erdgeschoss, -e|o térreo|Meine Wohnung ist im Erdgeschoss.|A2
die Erkältung, -en|o resfriado|Ich habe eine Erkältung.|A2
der Erfolg, -e|o sucesso|Ich wünsche dir viel Erfolg!|A2
die Fabrik, -en|a fábrica|Die Fabrik produziert Autos.|A2
das Fach, -er|a disciplina, a área|Welches Fach studierst du?|A2
der Fahrer, - / die Fahrerin, -nen|o motorista / a motorista|Der Fahrer ist sehr freundlich.|A1
das Fahrrad, -er|a bicicleta|Ich fahre gern Fahrrad.|A1
die Fahrkarte, -n|a passagem, a passagem de trem|Ich kaufe eine Fahrkarte nach Berlin.|A2
der Fahrplan, -e|o horário (de transporte)|Schau mal im Fahrplan nach!|A2
die Familie, -n|a família|Meine Familie ist klein.|A1
die Farbe, -n|a cor|Welche Farbe magst du?|A2
das Fax, -e|o fax|Ich habe ein Fax bekommen.|A2
das Faxgerät, -e|o aparelho de fax|Das Faxgerät ist kaputt.|A2
die Feier, -n|a festa, a celebração|Die Feier war sehr schön.|A2
der Feiertag, -e|o feriado|Morgen ist ein Feiertag.|A2
das Fenster, -|a janela|Bitte schließ das Fenster.|A1
die Ferien (Pl.)|as férias|Ich fahre in den Ferien weg.|A2
der Fernseher, -|a televisão|Der Fernseher ist neu.|A1
das Fernsehen (kein Plural)|a televisão (programa, meio de comunicação)|Ich schaue gern Fernsehen.|A1
das Festival, -s|o festival|Das Festival findet im Sommer statt.|A2
das Fieber (kein Pl.)|a febre|Ich habe Fieber.|A2
der Film, -e|o filme|Ich möchte einen Film sehen.|A1
der Finger, -|o dedo|Ich habe mir den Finger verletzt.|A2
die Firma, die Firmen|a empresa|Ich arbeite für eine große Firma.|A2
die Fitness (kein Pl.)|a forma física|Sport ist gut für die Fitness.|A2
die Flasche, -n|a garrafa|Bitte gib mir die Flasche Wasser.|A1
das Fleisch (kein Pl.)|a carne|Ich esse gern Fleisch.|A1
der Flieger, -|o avião (coloquial)|Der Flieger landet gleich.|A2
der Flug, -e|o voo|Mein Flug geht nach Berlin.|A1
der Flughafen, -|o aeroporto|Wir fahren zum Flughafen.|A1
das Flugzeug, -e|o avião|Das Flugzeug fliegt hoch.|A1
das Formular, -e|o formulário|Bitte füllen Sie das Formular aus.|A1
das Foto, -s|a foto|Ich zeige dir meine Fotos.|A1
der Fotograf, -en|o fotógrafo|Der Fotograf macht schöne Bilder.|A1
die Frau, -en|a mulher, a senhora|Die Frau ist sehr nett.|A1
die Freizeit, -en|o tempo livre|In meiner Freizeit lese ich gern.|A2
der Freitag, -e|a sexta-feira|Am Freitag gehen wir ins Kino.|A1
der Freund, -e / die Freundin, -nen|o amigo / a amiga, o namorado / a namorada|Das ist mein Freund Peter.|A1
der Friseur, -e / die Friseuse, -n|o cabeleireiro / a cabeleireira|Ich gehe zum Friseur.|A1
der Frühling, -e|a primavera|Im Frühling blühen die Blumen.|A2
das Frühstück, -e|o café da manhã|Ich esse mein Frühstück um 7 Uhr.|A1
der Fuß, -e|o pé|Mir tut der Fuß weh.|A2
der Fußball, -e|o futebol|Ich spiele gern Fußball.|A1
die Gabel, -n|o garfo|Wo ist meine Gabel?|A2
die Garage, -n|a garagem|Mein Auto steht in der Garage.|A2
der Gast, -e|o convidado|Wir haben Gäste heute Abend.|A2
das Gebirge, -|a cadeia de montanhas|Das Gebirge ist sehr schön.|A2
das Gefühl, -e|o sentimento|Ich habe ein gutes Gefühl.|A2
das Gehalt, -er|o salário|Mein Gehalt ist gut.|A2
das Geld, -er|o dinheiro|Ich brauche Geld.|A1
das Gemüse (kein Pl.)|o legume, a verdura|Ich esse gern Gemüse.|A1
die Gesamtschule, -n|a escola abrangente|Meine Kinder gehen auf eine Gesamtschule.|A2
das Geschenk, -e|o presente|Danke für das Geschenk!|A2
das Geschäft, -e|a loja, o negócio|Das Geschäft ist geschlossen.|A2
die Gesundheit (kein Pl.)|a saúde|Ich wünsche dir gute Gesundheit.|A2
das Getränk, -e|a bebida|Was möchten Sie trinken?|A1
das Glas, -er|o copo, o vidro|Bitte gib mir ein Glas Wasser.|A1
das Glück (fast nie Plural)|a sorte, a felicidade|Ich wünsche dir viel Glück!|A2
der Gott, -er|o deus|Er glaubt an Gott.|A2
die Grammatik, -en (Plural nur, wenn ein Buch gemeint ist)|a gramática|Die deutsche Grammatik ist schwer.|A1
die Grippe, -n|a gripe|Ich habe Grippe.|A2
die Großeltern (nur Plural)|os avós|Meine Großeltern wohnen weit weg.|A1
die Großmutter, -er|a avó|Meine Großmutter ist sehr lieb.|A1
der Großvater, -er|o avô|Der Großvater erzählt Geschichten.|A1
die Gruppe, -n|o grupo|Wir arbeiten in einer Gruppe.|A1
die Grundschule, -n|a escola primária|Meine Nichte geht in die Grundschule.|A2
das Gymnasium, die Gymnasien|o ginásio (escola secundária)|Er besucht ein Gymnasium.|A2
die Gymnastik, -en|a ginástica|Ich mache gern Gymnastik.|A1
das Haar, -e|o cabelo|Sie hat lange blonde Haare.|A1
die Haltestelle, -n|a parada (de ônibus, bonde);|Die Haltestelle ist gleich um die Ecke.|A2
die Hand, -e|a mão|Gib mir deine Hand.|A1
das Handtuch, -er|a toalha de mão|Ich brauche ein Handtuch.|A2
das Haus, -er|a casa|Ich wohne in einem Haus.|A1
die Hausaufgabe, -n|o dever de casa|Ich muss meine Hausaufgaben machen.|A1
der Hausmann, -er / die Hausfrau, -en|o dono de casa / a dona de casa|Sie ist Hausfrau.|A2
die Hauptstadt, -e|a capital|Berlin ist die Hauptstadt von Deutschland.|A2
der Hauptbahnhof, -e|a estação central de trem|Wir treffen uns am Hauptbahnhof.|A2
die Hauptschule, -n|a escola secundária (tipo específico na Alemanha)|Er geht auf die Hauptschule.|A2
das Heft, -e|o caderno|Ich habe mein Heft vergessen.|A1
der Herd, -e|o fogão|Der Herd ist neu.|A1
der Herr, -en|o senhor|Guten Tag, Herr Meier.|A1
der Herbst, -e|o outono|Im Herbst fallen die Blätter.|A1
der Hit, -s|o sucesso (música, filme)|Das Lied ist ein großer Hit.|A1
das Hobby, -s|o hobby|Mein Hobby ist Lesen.|A1
die Hochzeit, -en|o casamento|Die Hochzeit war wunderschön.|A2
das Hotel, -s|o hotel|Wir übernachten im Hotel.|A1
der Humor, -e (kaum Plural)|o humor|Er hat einen guten Humor.|A2
der Hund, -e|o cachorro|Ich habe einen Hund.|A2
der Hunger (kein Pl.)|a fome|Ich habe Hunger.|A1
die Illustrierte, -n|a revista ilustrada|Ich lese gern Illustrierte.|A2
der Imbiss, -e|o lanche, o quiosque de lanches|Wir essen einen Imbiss.|A2
die Industrie, -n|a indústria|Die Industrie wächst.|A2
die Information, -nen|a informação|Ich brauche mehr Informationen.|A1
das Interesse, -n|o interesse|Ich habe großes Interesse daran.|A2
das Internet (kein Plural)|a internet|Ich surfe gern im Internet.|A1
das Jahr, -e|o ano|Das Jahr hat 365 Tage.|A1
das Jahrhundert, -e|o século|Wir leben im 21. Jahrhundert.|A2
der Job, -s|o trabalho, o emprego|Ich habe einen neuen Job.|A1
der Joghurt, -s|o iogurte|Ich esse Joghurt zum Frühstück.|A1
der Journalist, -en / die Journalistin, -nen|o jornalista / a jornalista|Der Journalist schreibt einen Artikel.|A1
der Juli|julho|Im Juli fahre ich in den Urlaub.|A1
der Junge, -n|o menino|Der Junge spielt Fußball.|A1
die Jugendherberge, -n|o albergue da juventude|Wir übernachten in einer Jugendherberge.|A2
der Kaffee, -s|o café|Ich trinke gern Kaffee.|A1
der Käse, -|o queijo|Möchtest du Käse zum Frühstück?|A1
der Kasten, -|a caixa, o caixote|Der Kasten ist leer.|A2
die Kamera, -s|a câmera|Ich habe eine neue Kamera.|A1
der Kampf, -e|a luta|Das war ein harter Kampf.|A2
die Kantine, -n|a cantina|Wir essen in der Kantine zu Mittag.|B1
die Karte, -n|o mapa, o cartão|Wo ist die Karte von Berlin?|A2
die Kasse, -n|o caixa|Bitte gehen Sie zur Kasse.|A1
die Kassette, -n|a fita cassete|Ich höre gern alte Kassetten.|A2
die Katze, -n|o gato|Ich habe eine Katze.|A2
das Kaufhaus, -er|a loja de departamentos|Wir gehen ins Kaufhaus.|A2
der Kellner, - / die Kellnerin, -nen|o garçom / a garçonete|Der Kellner bringt uns das Essen.|A1
der Keller, -|o porão, a cave|Der Keller ist dunkel.|A2
der Ketchup, -s|o ketchup|Möchtest du Ketchup zu deinen Pommes?|A2
die Kinderkrippe, -n|a creche|Das Baby geht in die Kinderkrippe.|A2
der Kindergarten, -|o jardim de infância|Meine Tochter geht in den Kindergarten.|A2
das Kinderzimmer, -|o quarto das crianças|Das Kinderzimmer ist groß.|A1
das Kind, -er|a criança|Die Kinder spielen im Garten.|A1
das Kino, -s|o cinema|Gehen wir ins Kino?|A1
der Kiosk, -e|o quiosque|Ich kaufe eine Zeitung am Kiosk.|A2
die Kirche, -n|a igreja|Die Kirche ist sehr alt.|A2
die Klasse, -n|a classe, a turma|Ich bin in der Klasse 8a.|A2
das Kleid, -er|o vestido|Sie trägt ein schönes Kleid.|A2
das Kleingeld (kein Pl.)|o troco, moedas|Haben Sie Kleingeld?|A2
die Kleidung (kein Plural)|a roupa, o vestuário|Ich kaufe neue Kleidung.|B1
das Klima (die Klimate, fast nie Plural)|o clima|Das Klima ist hier sehr angenehm.|B1
der Klimaforscher, -|o pesquisador do clima|Klimaforscher untersuchen den Klimawandel.|B1
der Klimaschutz (kein Plural)|a proteção climática|Klimaschutz ist sehr wichtig.|B1
die Klimaveränderung, -en|a mudança climática|Die Klimaveränderung ist ein globales Problem.|B1
der Klub, -s|o clube|Ich bin Mitglied in einem Sportklub.|A1
der Knoblauch (kein Pl.)|o alho|Ich mag Knoblauch nicht.|B1
der Knopf, -e|o botão|Mein Hemd hat einen Knopf verloren.|A2
der Koch, -e / die Köchin, -nen|o cozinheiro / a cozinheira|Der Koch bereitet das Essen zu.|A2
das Kohlekraftwerk, -e|a usina termelétrica a carvão|Das Kohlekraftwerk erzeugt Strom.|B1
das Kohlendioxid, -e (CO2)|o dióxido de carbono (CO2)|Der CO2-Ausstoß ist zu hoch.|B1
der Koffer, -|a mala|Ich packe meinen Koffer.|A2
das Kolleg, die Kollegien|a faculdade, o colégio|Er besucht ein Kolleg.|A2
der Kollege, -n / die Kollegin, -nen|o colega / a colega|Meine Kollegin ist sehr nett.|A1
die Kommission, -en|a comissão|Die Kommission berät über neue Gesetze.|B1
der Kommunismus (kein Plural)|o comunismo|Der Kommunismus ist eine politische Ideologie.|B1
der Komfort (kein Pl.)|o conforto|Das Hotel bietet viel Komfort.|B1
der Kommentar, -e|o comentário|Ich habe den Kommentar gelesen.|B1
die Kommunikation, -en|a comunicação|Kommunikation ist wichtig.|B1
der Kompromiss, -e|o compromisso|Wir haben einen Kompromiss gefunden.|B1
das Kondom, -e|o preservativo|Kondome schützen vor Krankheiten.|B1
die Konferenz, -en|a conferência|Die Konferenz findet in Berlin statt.|B1
der Konflikt, -e|o conflito|Es gibt einen Konflikt zwischen den Parteien.|A2
die Konfitüre, -n|a geleia|Ich esse Brot mit Konfitüre.|B1
der König, -e|o rei|Der König lebt in einem Schloss.|A2
die Konsequenz, -en|a consequência|Das sind die Konsequenzen deines Handelns.|B1
das Konsulat, -e|o consulado|Ich muss zum Konsulat gehen.|B1
das Konzert, -e|o concerto|Ich gehe heute Abend ins Konzert.|A2
die Konzentration (kein Pl.)|a concentração|Ich brauche viel Konzentration für diese Arbeit.|B1
die Konkurrenz (kein Pl.)|a concorrência|Die Konkurrenz ist groß.|A2
der Kontinent, -e|o continente|Afrika ist ein Kontinent.|B1
das Konto, die Konten|a conta bancária|Ich habe ein neues Konto eröffnet.|A2
die Kontrolle, -n|o controle|Die Passkontrolle dauert lange.|B1
der Kopf, -e|a cabeça|Mir tut der Kopf weh.|A2
die Kopie, -n|a cópia|Kannst du mir eine Kopie machen?|A2
der Körper, -|o corpo|Mein ganzer Körper tut weh.|B1
der Kopf, -e|a cabeça|Mir tut der Kopf weh.|A2
das Kraftwerk, -e|a usina (de energia)|Das Kraftwerk produziert viel Strom.|B1
die Krankenkasse, -n|o plano de saúde, a caixa de seguro-doença|Ich bin bei der Krankenkasse versichert.|B1
das Krankenhaus, -er|o hospital|Er liegt im Krankenhaus.|A1
der Krankenschein, -e|o atestado médico|Ich brauche einen Krankenschein.|B1
die Krankenversicherung, -en|o seguro-saúde|Die Krankenversicherung zahlt die Kosten.|B1
der Krankenwagen, -|a ambulância|Der Krankenwagen ist da.|B1
die Krankheit, -en|a doença|Die Krankheit ist selten.|B1
der Krimi, -s (= der Kriminalfilm, -e oder der Kriminalroman, -e)|o filme policial, o romance policial|Ich lese gern Krimis.|A2
die Krise, -n|a crise|Die Wirtschaft ist in einer Krise.|A2
die Kritik, -en|a crítica|Die Kritik war positiv.|A2
die Kriminalität (kein Plural)|a criminalidade|Die Kriminalität ist gestiegen.|A2
die Küche, -n|a cozinha|Die Küche ist neu.|A1
der Kuchen, -|o bolo|Möchtest du ein Stück Kuchen?|A1
die Kuh, -e|a vaca|Die Kuh gibt Milch.|B1
der Kugelschreiber, -|a caneta esferográfica|Ich brauche einen Kugelschreiber.|A1
die Kultur, -en|a cultura|Die deutsche Kultur ist interessant.|A2
der Kunde, -n / die Kundin, -nen|o cliente / a cliente|Der Kunde wartet.|B1
die Küste, -n|a costa|Wir fahren an die Küste.|B1
die Lampe, -n|a luminária, a lâmpada|Die Lampe ist neu.|A1
das Land, -er|o país, a terra|Deutschland ist ein schönes Land.|A1
die Landschaft, -en|a paisagem|Die Landschaft ist wunderschön.|B1
der Lastkraftwagen, - (LKW, -s)|o caminhão|Der LKW ist sehr groß.|A2
der Lärm (kein Pl.)|o barulho|Der Lärm stört mich.|B1
die Lautstärke, -n|o volume (de som);|Bitte reduziere die Lautstärke.|B1
das Leder, -|o couro|Die Jacke ist aus Leder.|B1
die Leber, -n|o fígado|Ich mag keine Leber.|A2
ledig|solteiro/a|Er ist noch ledig.|A1
die Lehre, -n|o ensino, a formação|Er macht eine Lehre als Elektriker.|A2
der Lehrer, - / die Lehrerin, -nen|o professor / a professora|Mein Lehrer ist sehr nett.|A1
der Lehrling, -e|o aprendiz|Der Lehrling lernt schnell.|A2
das Lebensmittel, -|o alimento|Wir kaufen Lebensmittel im Supermarkt.|B1
der Lebenslauf, -e|o currículo|Bitte senden Sie Ihren Lebenslauf.|A2
die Liebe (kein Plural)|o amor|Ich liebe dich.|A2
das Lied, -er|a canção|Ich singe gern Lieder.|A2
der Lift, -e|o elevador|Fahren wir mit dem Lift?|A2
die Limonade, -n (kurz: Limo, -s)|a limonada|Ich trinke gern Limonade.|A1
die Linie, -n|a linha|Die Buslinie 10 fährt hier vorbei.|B1
die Lippe, -n|o lábio|Sie hat rote Lippen.|A2
die Lösung, -en|a solução|Ich habe die Lösung gefunden.|A1
die Lücke, -n|a lacuna, o espaço|Bitte füllen Sie die Lücken aus.|A1
die Luft, -e|o ar|Die Luft ist frisch.|A2
die Lust, -e|o desejo, a vontade|Ich habe Lust auf Pizza.|A2
der Löffel, -|a colher|Ich brauche einen Löffel.|A2
der Magen, -en|o estômago|Mir tut der Magen weh.|A2
das Mädchen, -|a menina|Das Mädchen spielt im Garten.|A1
der Mädchenname, -n|o sobrenome de solteira|Ihr Mädchenname war Schmidt.|A1
die Mannschaft, -en|a equipe|Unsere Mannschaft hat gewonnen.|A2
der Mann, -er|o homem|Der Mann liest ein Buch.|A1
der Mantel, -|o casaco|Ich brauche einen warmen Mantel.|A2
die Mappe, -n|a pasta|Die Mappe ist leer.|A2
die Mark (kein Pl.)|o Marco (antiga moeda alemã)|Ich habe noch ein paar Mark.|A2
die Marmelade, -n|a geleia|Ich esse gern Marmelade zum Frühstück.|A1
die Maschine, -n|a máquina|Die Maschine ist kaputt.|A1
die Mathematik (kein Pl.)|a matemática|Mathematik ist mein Lieblingsfach.|A2
das Meer, -e|o mar|Wir fahren im Sommer ans Meer.|A2
das Mehl (kein Pl.)|a farinha|Ich brauche Mehl für den Kuchen.|A2
der Mechaniker, -|o mecânico|Der Mechaniker repariert mein Auto.|A1
die Medizin, -en|a medicina, o medicamento|Ich studiere Medizin.|A2
das Medikament, -e|o medicamento|Ich muss dieses Medikament nehmen.|A2
die Mensa, die Mensen|o refeitório universitário|Ich esse oft in der Mensa.|A2
der Mensch, -en|o ser humano, a pessoa|Alle Menschen sind gleich.|A1
das Messer, -|a faca|Ich brauche ein Messer.|A2
die Metzgerei, -en|o açougue|Ich kaufe Fleisch in der Metzgerei.|A2
die Milch (kein Plural)|o leite|Ich trinke Milch zum Frühstück.|A1
die Million, -en|o milhão|Eine Million Euro ist viel Geld.|A1
die Minute, -n|o minuto|Warte bitte eine Minute.|A1
die Mobilität, -en|a mobilidade|Die Mobilität ist in der Stadt sehr wichtig.|A2
die Mode, -n|a moda|Ich interessiere mich für Mode.|B1
der Monat, -e|o mês|Der Monat hat 30 Tage.|A1
der Mond, -e|a lua|Der Mond scheint hell.|A2
das Monatsgehalt, -er|o salário mensal|Mein Monatsgehalt ist hoch.|A2
das Moped, -s|a mobilete|Ich fahre mit dem Moped zur Arbeit.|B1
der Mord, -e|o assassinato|Der Mord war schrecklich.|B1
die Mücke, -n|o mosquito|Ich habe eine Mücke im Zimmer.|B1
der Müll (kein Plural)|o lixo|Bitte wirf den Müll in den Eimer.|B1
das Museum, die Museen|o museu|Ich gehe gern ins Museum.|A1
die Musik, -en|a música|Ich höre gern Musik.|A1
der Musiker, - / die Musikerin, -nen|o músico / a música|Der Musiker spielt Gitarre.|A2
die Mütze, -n|o gorro, o boné|Ich trage eine Mütze, wenn es kalt ist.|A2
die Mutter, -er|a mãe|Meine Mutter kocht sehr gut.|A1
die Nacht, -e|a noite|Gute Nacht!|A1
der Nachbar, -n / die Nachbarin, -nen|o vizinho / a vizinha|Meine Nachbarn sind sehr nett.|A2
der Nachname, -n|o sobrenome|Mein Nachname ist Müller.|A1
die Nachspeise, -n|a sobremesa|Ich mag Nachspeisen sehr gern.|A2
die Nadel, -n|a agulha|Ich brauche eine Nadel und Faden.|B1
der Name, -n|o nome|Wie ist Ihr Name?|A1
die Nase, -n|o nariz|Ich habe eine rote Nase.|A2
die Natur, -en|a natureza|Ich liebe die Natur.|A2
der Nationalpark, -s|o parque nacional|Wir besuchen einen Nationalpark.|B1
die Nationalität, -en|a nacionalidade|Welche Nationalität haben Sie?|A2
das Naturschutzgebiet, -e|a reserva natural|Das Naturschutzgebiet ist sehr schön.|B1
die Nässe (kein Plural)|a umidade|Die Nässe schadet den Wänden.|B1
der Nebel, -|a neblina, o nevoeiro|Es ist heute sehr nebelig.|B1
die Nebenkosten (nur Plural)|os custos adicionais, as despesas de condomínio|Die Nebenkosten sind hoch.|A2
der Nerv, -en|o nervo|Das geht mir auf die Nerven.|A2
der Nichtraucher, -|o não-fumante|Ich bin Nichtraucher.|B1
das Niveau, -s|o nível|Das Niveau des Kurses ist hoch.|A2
die Note, -n|a nota (escolar, musical);|Ich habe eine gute Note bekommen.|A2
die Nudel, -n|o macarrão|Ich esse gern Nudeln.|A1
die Nummer, -n|o número|Wie ist deine Telefonnummer?|A1
die Nuss, -e|a noz|Ich esse gern Nüsse.|B1
das Obst (kein Pl.)|a fruta|Obst ist gesund.|A2
der Ofen, -|o forno|Der Ofen ist heiß.|A2
die Öffnungszeit, -en|o horário de funcionamento|Was sind die Öffnungszeiten?|A2
das Ohr, -en|a orelha|Mir tut das Ohr weh.|A2
das Öl, -e|o óleo|Ich brauche Öl zum Kochen.|A2
die Ökologie, -n|a ecologia|Ökologie ist ein wichtiges Thema.|A2
der Onkel, -|o tio|Mein Onkel kommt uns besuchen.|A1
der Onlineshop, -s|a loja online|Ich kaufe gern im Onlineshop ein.|A2
der Onlinespieler, -|o jogador online|Er ist ein guter Onlinespieler.|A2
die Oper, -n|a ópera|Ich gehe gern in die Oper.|A2
die Operation, -en|a operação|Die Operation war erfolgreich.|A2
das Orchester, -|a orquestra|Das Orchester spielt wunderbar.|A2
die Orange, -n|a laranja|Ich esse gern Orangen.|A1
die Organisation, -en|a organização|Die Organisation hilft armen Menschen.|A2
der Osten (kein Plural)|o leste|Die Sonne geht im Osten auf.|A1
das Paar, -e|o casal, o par|Sie sind ein glückliches Paar.|A2
das Päckchen, -|o pacote pequeno|Ich habe ein Päckchen bekommen.|A2
das Paket, -e|o pacote|Ich sende ein Paket nach Hause.|A2
das Papier (kein Pl.)|o papel|Ich brauche ein Blatt Papier.|A1
der Park, -s|o parque|Wir gehen in den Park.|A1
der Parkplatz, -e|o estacionamento|Der Parkplatz ist voll.|A2
der Parkverbot, -e|a proibição de estacionar|Hier ist Parkverbot.|A2
das Parlament, -e|o parlamento|Das Parlament tagt heute.|A2
die Partei, -en|o partido (político);|Welche Partei wählen Sie?|A2
die Party, -s|a festa|Wir machen eine Party.|A1
der Patient, -en|o paciente|Der Patient wartet auf den Arzt.|A2
die Pause, -n|a pausa, o intervalo|Machen wir eine Pause?|A1
der PC, -s (der Personal Computer, -)|o PC, o computador pessoal|Ich arbeite an meinem PC.|B1
der Pfeffer, -|a pimenta|Ich mag keinen Pfeffer.|B1
der Pfennig, -e|o Pfennig (antiga moeda alemã)|Ich habe noch ein paar Pfennige.|B1
das Pferd, -e|o cavalo|Das Pferd läuft schnell.|A2
die Pille, -n|a pílula|Ich nehme eine Pille gegen Kopfschmerzen.|B1
der Pilot, -en / die Pilotin, -nen|o piloto / a piloto|Der Pilot fliegt das Flugzeug.|A2
der Pilz, -e|o cogumelo|Ich esse gern Pilze.|A2
die Pizza, die Pizzen|a pizza|Ich esse gern Pizza.|A1
der Plan, -e|o plano, o mapa|Hast du einen Plan für das Wochenende?|A1
die Pflanze, -n|a planta|Die Pflanze ist grün.|B1
das Pflaster, -|o curativo, o asfalto|Ich brauche ein Pflaster für den Finger.|B1
der Plan, -e|o plano|Hast du einen Plan für das Wochenende?|A1
der Platz, -e|o lugar, a praça|Der Platz ist schön.|A1
die Polizei (kein Plural)|a polícia|Die Polizei ist da.|A1
der Polizist, -en / die Polizistin, -nen|o policial / a policial|Der Polizist hilft den Leuten.|A2
die Pommes frites (nur Plural)|as batatas fritas|Ich esse gern Pommes frites.|A1
die Portion, -en|a porção|Ich möchte eine kleine Portion.|B1
das Postamt, -er|o correio|Ich gehe zum Postamt.|A2
die Post (kein Plural)|o correio, a correspondência|Ich habe Post bekommen.|A1
das Postfach, -er|a caixa postal|Meine Post kommt ins Postfach.|B1
die Postkarte, -n|o cartão postal|Ich schicke dir eine Postkarte.|A1
die Postleitzahl, -en|o código postal|Wie ist deine Postleitzahl?|B1
die Praxis, die Praxen|o consultório, a prática|Ich habe einen Termin in der Praxis.|B1
der Preis, -e|o preço|Der Preis ist hoch.|A1
die Presse (kein Plural)|a imprensa|Die Presse berichtet über das Ereignis.|B1
der Priester, - / die Priesterin, -nen|o sacerdote / a sacerdotisa|Der Priester hält eine Messe.|B1
das Problem, -e|o problema|Ich habe ein Problem.|A1
die Produktion, -en|a produção|Die Produktion ist gestiegen.|A2
das Produkt, -e|o produto|Das ist ein neues Produkt.|A2
das Programm, -e|o programa|Ich sehe gern Fernsehprogramme.|A2
der Profi, -s|o profissional|Er ist ein Profi in seinem Bereich.|B1
der Protest, -e|o protesto|Der Protest war friedlich.|A2
der Provider, - (engl.)|o provedor (de internet);|Welchen Provider hast du?|A2
die Prüfung, -en|a prova, o exame|Ich habe morgen eine Prüfung.|A2
das Publikum, -s|o público|Das Publikum war begeistert.|B1
der Pudding, -s|o pudim|Ich esse gern Schokoladenpudding.|B1
der Pullover, -|o suéter|Ich trage einen warmen Pullover.|A2
die Puppe, -n|a boneca|Die Kinder spielen mit Puppen.|B1
die Pute, -n|o peru|Wir essen Pute zu Weihnachten.|B1
