traducao|verbo|exemplo|nivel
a roupa, o vestuário|die Kleidung (kein Plural)|Ich kaufe neue Kleidung.|B1
o clima|das Klima (die Klimate, fast nie Plural)|Das Klima ist hier sehr angenehm.|B1
o pesquisador do clima|der Klimaforscher, -|Klimaforscher untersuchen den Klimawandel.|B1
a proteção climática|der Klimaschutz (kein Plural)|Klimaschutz ist sehr wichtig.|B1
a mudança climática|die Klimaveränderung, -en|Die Klimaveränderung ist ein globales Problem.|B1
o clube|der Klub, -s|Ich bin Mitglied in einem Sportklub.|A1
o alho|der Knoblauch (kein Pl.)|Ich mag Knoblauch nicht.|B1
o botão|der Knopf, -e|Mein Hemd hat einen Knopf verloren.|A2
o cozinheiro / a cozinheira|der Koch, -e / die Köchin, -nen|Der Koch bereitet das Essen zu.|A2
a usina termelétrica a carvão|das Kohlekraftwerk, -e|Das Kohlekraftwerk erzeugt Strom.|B1
o dióxido de carbono (CO2)|das Kohlendioxid, -e (CO2)|Der CO2-Ausstoß ist zu hoch.|B1
a mala|der Koffer, -|Ich packe meinen Koffer.|A2
a faculdade, o colégio|das Kolleg, die Kollegien|Er besucht ein Kolleg.|A2
o colega / a colega|der Kollege, -n / die Kollegin, -nen|Meine Kollegin ist sehr nett.|A1
a comissão|die Kommission, -en|Die Kommission berät über neue Gesetze.|B1
o comunismo|der Kommunismus (kein Plural)|Der Kommunismus ist eine politische Ideologie.|B1
o conforto|der Komfort (kein Pl.)|Das Hotel bietet viel Komfort.|B1
o comentário|der Kommentar, -e|Ich habe den Kommentar gelesen.|B1
a comunicação|die Kommunikation, -en|Kommunikation ist wichtig.|B1
o compromisso|der Kompromiss, -e|Wir haben einen Kompromiss gefunden.|B1
o preservativo|das Kondom, -e|Kondome schützen vor Krankheiten.|B1
a conferência|die Konferenz, -en|Die Konferenz findet in Berlin statt.|B1
o conflito|der Konflikt, -e|Es gibt einen Konflikt zwischen den Parteien.|A2
a geleia|die Konfitüre, -n|Ich esse Brot mit Konfitüre.|B1
o rei|der König, -e|Der König lebt in einem Schloss.|A2
a consequência|die Konsequenz, -en|Das sind die Konsequenzen deines Handelns.|B1
o consulado|das Konsulat, -e|Ich muss zum Konsulat gehen.|B1
o concerto|das Konzert, -e|Ich gehe heute Abend ins Konzert.|A2
a concentração|die Konzentration (kein Pl.)|Ich brauche viel Konzentration für diese Arbeit.|B1
a concorrência|die Konkurrenz (kein Pl.)|Die Konkurrenz ist groß.|A2
o continente|der Kontinent, -e|Afrika ist ein Kontinent.|B1
a conta bancária|das Konto, die Konten|Ich habe ein neues Konto eröffnet.|A2
o controle|die Kontrolle, -n|Die Passkontrolle dauert lange.|B1
a cabeça|der Kopf, -e|Mir tut der Kopf weh.|A2
a cópia|die Kopie, -n|Kannst du mir eine Kopie machen?|A2
o corpo|der Körper, -|Mein ganzer Körper tut weh.|B1
a cabeça|der Kopf, -e|Mir tut der Kopf weh.|A2
a usina (de energia)|das Kraftwerk, -e|Das Kraftwerk produziert viel Strom.|B1
o plano de saúde, a caixa de seguro-doença|die Krankenkasse, -n|Ich bin bei der Krankenkasse versichert.|B1
o hospital|das Krankenhaus, -er|Er liegt im Krankenhaus.|A1
o atestado médico|der Krankenschein, -e|Ich brauche einen Krankenschein.|B1
o seguro-saúde|die Krankenversicherung, -en|Die Krankenversicherung zahlt die Kosten.|B1
a ambulância|der Krankenwagen, -|Der Krankenwagen ist da.|B1
a doença|die Krankheit, -en|Die Krankheit ist selten.|B1
o filme policial, o romance policial|der Krimi, -s (= der Kriminalfilm, -e oder der Kriminalroman, -e)|Ich lese gern Krimis.|A2
a crise|die Krise, -n|Die Wirtschaft ist in einer Krise.|A2
a crítica|die Kritik, -en|Die Kritik war positiv.|A2
a criminalidade|die Kriminalität (kein Plural)|Die Kriminalität ist gestiegen.|A2
a cozinha|die Küche, -n|Die Küche ist neu.|A1
o bolo|der Kuchen, -|Möchtest du ein Stück Kuchen?|A1
a vaca|die Kuh, -e|Die Kuh gibt Milch.|B1
a caneta esferográfica|der Kugelschreiber, -|Ich brauche einen Kugelschreiber.|A1
a cultura|die Kultur, -en|Die deutsche Kultur ist interessant.|A2
o cliente / a cliente|der Kunde, -n / die Kundin, -nen|Der Kunde wartet.|B1
a costa|die Küste, -n|Wir fahren an die Küste.|B1
a luminária, a lâmpada|die Lampe, -n|Die Lampe ist neu.|A1
o país, a terra|das Land, -er|Deutschland ist ein schönes Land.|A1
a paisagem|die Landschaft, -en|Die Landschaft ist wunderschön.|B1
o caminhão|der Lastkraftwagen, - (LKW, -s)|Der LKW ist sehr groß.|A2
o barulho|der Lärm (kein Pl.)|Der Lärm stört mich.|B1
o volume (de som);|die Lautstärke, -n|Bitte reduziere die Lautstärke.|B1
o couro|das Leder, -|Die Jacke ist aus Leder.|B1
o fígado|die Leber, -n|Ich mag keine Leber.|A2
solteiro/a|ledig|Er ist noch ledig.|A1
o ensino, a formação|die Lehre, -n|Er macht eine Lehre als Elektriker.|A2
o professor / a professora|der Lehrer, - / die Lehrerin, -nen|Mein Lehrer ist sehr nett.|A1
o aprendiz|der Lehrling, -e|Der Lehrling lernt schnell.|A2
o alimento|das Lebensmittel, -|Wir kaufen Lebensmittel im Supermarkt.|B1
o currículo|der Lebenslauf, -e|Bitte senden Sie Ihren Lebenslauf.|A2
o amor|die Liebe (kein Plural)|Ich liebe dich.|A2
a canção|das Lied, -er|Ich singe gern Lieder.|A2
o elevador|der Lift, -e|Fahren wir mit dem Lift?|A2
a limonada|die Limonade, -n (kurz: Limo, -s)|Ich trinke gern Limonade.|A1
a linha|die Linie, -n|Die Buslinie 10 fährt hier vorbei.|B1
o lábio|die Lippe, -n|Sie hat rote Lippen.|A2
a solução|die Lösung, -en|Ich habe die Lösung gefunden.|A1
a lacuna, o espaço|die Lücke, -n|Bitte füllen Sie die Lücken aus.|A1
o ar|die Luft, -e|Die Luft ist frisch.|A2
o desejo, a vontade|die Lust, -e|Ich habe Lust auf Pizza.|A2
a colher|der Löffel, -|Ich brauche einen Löffel.|A2
o estômago|der Magen, -en|Mir tut der Magen weh.|A2
a menina|das Mädchen, -|Das Mädchen spielt im Garten.|A1
o sobrenome de solteira|der Mädchenname, -n|Ihr Mädchenname war Schmidt.|A1
a equipe|die Mannschaft, -en|Unsere Mannschaft hat gewonnen.|A2
o homem|der Mann, -er|Der Mann liest ein Buch.|A1
o casaco|der Mantel, -|Ich brauche einen warmen Mantel.|A2
a pasta|die Mappe, -n|Die Mappe ist leer.|A2
o Marco (antiga moeda alemã)|die Mark (kein Pl.)|Ich habe noch ein paar Mark.|A2
a geleia|die Marmelade, -n|Ich esse gern Marmelade zum Frühstück.|A1
a máquina|die Maschine, -n|Die Maschine ist kaputt.|A1
a matemática|die Mathematik (kein Pl.)|Mathematik ist mein Lieblingsfach.|A2
o mar|das Meer, -e|Wir fahren im Sommer ans Meer.|A2
a farinha|das Mehl (kein Pl.)|Ich brauche Mehl für den Kuchen.|A2
o mecânico|der Mechaniker, -|Der Mechaniker repariert mein Auto.|A1
a medicina, o medicamento|die Medizin, -en|Ich studiere Medizin.|A2
o medicamento|das Medikament, -e|Ich muss dieses Medikament nehmen.|A2
o refeitório universitário|die Mensa, die Mensen|Ich esse oft in der Mensa.|A2
o ser humano, a pessoa|der Mensch, -en|Alle Menschen sind gleich.|A1
a faca|das Messer, -|Ich brauche ein Messer.|A2
o açougue|die Metzgerei, -en|Ich kaufe Fleisch in der Metzgerei.|A2
o leite|die Milch (kein Plural)|Ich trinke Milch zum Frühstück.|A1
o milhão|die Million, -en|Eine Million Euro ist viel Geld.|A1
o minuto|die Minute, -n|Warte bitte eine Minute.|A1
a mobilidade|die Mobilität, -en|Die Mobilität ist in der Stadt sehr wichtig.|A2
a moda|die Mode, -n|Ich interessiere mich für Mode.|B1
o mês|der Monat, -e|Der Monat hat 30 Tage.|A1
a lua|der Mond, -e|Der Mond scheint hell.|A2
o salário mensal|das Monatsgehalt, -er|Mein Monatsgehalt ist hoch.|A2
a mobilete|das Moped, -s|Ich fahre mit dem Moped zur Arbeit.|B1
o assassinato|der Mord, -e|Der Mord war schrecklich.|B1
o mosquito|die Mücke, -n|Ich habe eine Mücke im Zimmer.|B1
o lixo|der Müll (kein Plural)|Bitte wirf den Müll in den Eimer.|B1
o museu|das Museum, die Museen|Ich gehe gern ins Museum.|A1
a música|die Musik, -en|Ich höre gern Musik.|A1
o músico / a música|der Musiker, - / die Musikerin, -nen|Der Musiker spielt Gitarre.|A2
o gorro, o boné|die Mütze, -n|Ich trage eine Mütze, wenn es kalt ist.|A2
a mãe|die Mutter, -er|Meine Mutter kocht sehr gut.|A1
a noite|die Nacht, -e|Gute Nacht!|A1
o vizinho / a vizinha|der Nachbar, -n / die Nachbarin, -nen|Meine Nachbarn sind sehr nett.|A2
o sobrenome|der Nachname, -n|Mein Nachname ist Müller.|A1
a sobremesa|die Nachspeise, -n|Ich mag Nachspeisen sehr gern.|A2
a agulha|die Nadel, -n|Ich brauche eine Nadel und Faden.|B1
o nome|der Name, -n|Wie ist Ihr Name?|A1
o nariz|die Nase, -n|Ich habe eine rote Nase.|A2
a natureza|die Natur, -en|Ich liebe die Natur.|A2
o parque nacional|der Nationalpark, -s|Wir besuchen einen Nationalpark.|B1
a nacionalidade|die Nationalität, -en|Welche Nationalität haben Sie?|A2
a reserva natural|das Naturschutzgebiet, -e|Das Naturschutzgebiet ist sehr schön.|B1
a umidade|die Nässe (kein Plural)|Die Nässe schadet den Wänden.|B1
a neblina, o nevoeiro|der Nebel, -|Es ist heute sehr nebelig.|B1
os custos adicionais, as despesas de condomínio|die Nebenkosten (nur Plural)|Die Nebenkosten sind hoch.|A2
o nervo|der Nerv, -en|Das geht mir auf die Nerven.|A2
o não-fumante|der Nichtraucher, -|Ich bin Nichtraucher.|B1
o nível|das Niveau, -s|Das Niveau des Kurses ist hoch.|A2
a nota (escolar, musical);|die Note, -n|Ich habe eine gute Note bekommen.|A2
o macarrão|die Nudel, -n|Ich esse gern Nudeln.|A1
o número|die Nummer, -n|Wie ist deine Telefonnummer?|A1
a noz|die Nuss, -e|Ich esse gern Nüsse.|B1
a fruta|das Obst (kein Pl.)|Obst ist gesund.|A2
o forno|der Ofen, -|Der Ofen ist heiß.|A2
o horário de funcionamento|die Öffnungszeit, -en|Was sind die Öffnungszeiten?|A2
a orelha|das Ohr, -en|Mir tut das Ohr weh.|A2
o óleo|das Öl, -e|Ich brauche Öl zum Kochen.|A2
a ecologia|die Ökologie, -n|Ökologie ist ein wichtiges Thema.|A2
o tio|der Onkel, -|Mein Onkel kommt uns besuchen.|A1
a loja online|der Onlineshop, -s|Ich kaufe gern im Onlineshop ein.|A2
o jogador online|der Onlinespieler, -|Er ist ein guter Onlinespieler.|A2
a ópera|die Oper, -n|Ich gehe gern in die Oper.|A2
a operação|die Operation, -en|Die Operation war erfolgreich.|A2
a orquestra|das Orchester, -|Das Orchester spielt wunderbar.|A2
a laranja|die Orange, -n|Ich esse gern Orangen.|A1
a organização|die Organisation, -en|Die Organisation hilft armen Menschen.|A2
o leste|der Osten (kein Plural)|Die Sonne geht im Osten auf.|A1
o casal, o par|das Paar, -e|Sie sind ein glückliches Paar.|A2
o pacote pequeno|das Päckchen, -|Ich habe ein Päckchen bekommen.|A2
o pacote|das Paket, -e|Ich sende ein Paket nach Hause.|A2
o papel|das Papier (kein Pl.)|Ich brauche ein Blatt Papier.|A1
o parque|der Park, -s|Wir gehen in den Park.|A1
o estacionamento|der Parkplatz, -e|Der Parkplatz ist voll.|A2
a proibição de estacionar|der Parkverbot, -e|Hier ist Parkverbot.|A2
o parlamento|das Parlament, -e|Das Parlament tagt heute.|A2
o partido (político);|die Partei, -en|Welche Partei wählen Sie?|A2
a festa|die Party, -s|Wir machen eine Party.|A1
o paciente|der Patient, -en|Der Patient wartet auf den Arzt.|A2
a pausa, o intervalo|die Pause, -n|Machen wir eine Pause?|A1
o PC, o computador pessoal|der PC, -s (der Personal Computer, -)|Ich arbeite an meinem PC.|B1
a pimenta|der Pfeffer, -|Ich mag keinen Pfeffer.|B1
o Pfennig (antiga moeda alemã)|der Pfennig, -e|Ich habe noch ein paar Pfennige.|B1
o cavalo|das Pferd, -e|Das Pferd läuft schnell.|A2
a pílula|die Pille, -n|Ich nehme eine Pille gegen Kopfschmerzen.|B1
o piloto / a piloto|der Pilot, -en / die Pilotin, -nen|Der Pilot fliegt das Flugzeug.|A2
o cogumelo|der Pilz, -e|Ich esse gern Pilze.|A2
a pizza|die Pizza, die Pizzen|Ich esse gern Pizza.|A1
o plano, o mapa|der Plan, -e|Hast du einen Plan für das Wochenende?|A1
a planta|die Pflanze, -n|Die Pflanze ist grün.|B1
o curativo, o asfalto|das Pflaster, -|Ich brauche ein Pflaster für den Finger.|B1
o plano|der Plan, -e|Hast du einen Plan für das Wochenende?|A1
o lugar, a praça|der Platz, -e|Der Platz ist schön.|A1
a polícia|die Polizei (kein Plural)|Die Polizei ist da.|A1
o policial / a policial|der Polizist, -en / die Polizistin, -nen|Der Polizist hilft den Leuten.|A2
as batatas fritas|die Pommes frites (nur Plural)|Ich esse gern Pommes frites.|A1
a porção|die Portion, -en|Ich möchte eine kleine Portion.|B1
o correio|das Postamt, -er|Ich gehe zum Postamt.|A2
o correio, a correspondência|die Post (kein Plural)|Ich habe Post bekommen.|A1
a caixa postal|das Postfach, -er|Meine Post kommt ins Postfach.|B1
o cartão postal|die Postkarte, -n|Ich schicke dir eine Postkarte.|A1
o código postal|die Postleitzahl, -en|Wie ist deine Postleitzahl?|B1
o consultório, a prática|die Praxis, die Praxen|Ich habe einen Termin in der Praxis.|B1
o preço|der Preis, -e|Der Preis ist hoch.|A1
a imprensa|die Presse (kein Plural)|Die Presse berichtet über das Ereignis.|B1
o sacerdote / a sacerdotisa|der Priester, - / die Priesterin, -nen|Der Priester hält eine Messe.|B1
o problema|das Problem, -e|Ich habe ein Problem.|A1
a produção|die Produktion, -en|Die Produktion ist gestiegen.|A2
o produto|das Produkt, -e|Das ist ein neues Produkt.|A2
o programa|das Programm, -e|Ich sehe gern Fernsehprogramme.|A2
o profissional|der Profi, -s|Er ist ein Profi in seinem Bereich.|B1
o protesto|der Protest, -e|Der Protest war friedlich.|A2
o provedor (de internet);|der Provider, - (engl.)|Welchen Provider hast du?|A2
a prova, o exame|die Prüfung, -en|Ich habe morgen eine Prüfung.|A2
o público|das Publikum, -s|Das Publikum war begeistert.|B1
o pudim|der Pudding, -s|Ich esse gern Schokoladenpudding.|B1
o suéter|der Pullover, -|Ich trage einen warmen Pullover.|A2
a boneca|die Puppe, -n|Die Kinder spielen mit Puppen.|B1
o peru|die Pute, -n|Wir essen Pute zu Weihnachten.|B1
