traducao|verbo|exemplo|nivel
enviar por fax|faxen|Ich muss das Dokument faxen.|A2
celebrar, festejar|feiern|Wir feiern heute meinen Geburtstag.|A2
sentir-se|fühlen (sich)|Wie fühlen Sie sich heute?|A2
agradar, gostar de|gefallen|Die neue Wohnung gefällt mir sehr gut.|A2
pertencer|gehören|Wem gehört dieses Buch?|A2
grelhar|grillen|Wir grillen heute Abend im Garten.|A2
pendurar, estar pendurado|hängen|Das Bild hängt an der Wand.|A2
casar-se|heiraten|Sie heiraten nächsten Sommer.|A2
ajudar|helfen|Kann ich Ihnen helfen?|A2
tossir|husten|Er hustet die ganze Nacht.|A2
interessar-se por|interessieren (sich)|Ich interessiere mich für Sprachen.|A2
correr (fazer jogging)|joggen|Ich jogge jeden Morgen im Park.|A2
pentear|kämmen|Sie kämmt sich die Haare.|A2
conhecer|kennen|Ich kenne diesen Mann nicht.|A2
conhecer (alguém pela primeira vez)|kennenlernen|Ich möchte neue Leute kennenlernen.|A2
clicar|klicken|Klicken Sie hier, um das Dokument zu öffnen.|A2
tocar (campainha, telefone)|klingeln|Es klingelt an der Tür.|A2
bater (na porta)|klopfen|Jemand klopft an die Tür.|A2
copiar|kopieren|Kannst du dieses Dokument kopieren?|A2
corrigir|korrigieren|Der Lehrer korrigiert die Fehler.|A2
de graça, gratuito (usado como adjetivo, mas pode implicar ação)|kostenlos|Das Parken ist kostenlos.|A2
conseguir, pegar (coloquial)|kriegen|Wo kriege ich Fahrkarten?|A2
fresco, frio (usado com sein para estado)|kühl|Es ist heute kühl.|A2
deixar, permitir|lassen|Lass mich in Ruhe!|A2
emprestar|leihen|Kannst du mir dein Buch leihen?|A2
apagar, deletar, extinguir|löschen|Löschen Sie die Datei.|A2
marcar|markieren|Bitte markieren Sie die richtige Antwort.|A2
enviar por e-mail|mailen (e-mailen)|Ich maile dir die Informationen.|A2
achar, querer dizer|meinen|Was meinst du dazu?|A2
notar, perceber, gravar|merken|Merk dir das Datum.|A2
alugar|mieten|Wir wollen eine Wohnung mieten.|A2
misturar|mischen|Mischen Sie die Zutaten gut.|A2
trazer (consigo)|mitbringen|Bringst du etwas zu essen mit?|A2
gostar (de pessoas/coisas)|mögen|Ich mag Schokolade.|A2
operar|operieren|Der Arzt muss ihn operieren.|A2
ordenar, arrumar|ordnen|Bitte ordne die Bücher im Regal.|A2
empacotar, pegar (algo)|packen|Ich muss meine Tasche packen.|A2
acontecer|passieren|Was ist passiert?|A2
experimentar, provar|probieren|Möchten Sie dieses Gericht probieren?|A2
limpar, escovar|putzen|Ich muss noch das Bad putzen.|A2
reagir|reagieren|Wie hat er reagiert?|A2
correr, disparar|rennen|Die Kinder rennen auf dem Spielplatz.|A2
chamar, ligar (telef.)|rufen|Ich rufe dich später an.|A2
colecionar, juntar|sammeln|Er sammelt alte Münzen.|A2
aspirar (pó)|saugen|Ich muss heute noch staubsaugen.|A2
cortar|schneiden|Bitte schneide das Gemüse.|A2
sentar-se|setzen (sich)|Setz dich bitte auf den Stuhl.|A2
passear (ver também: spazieren gehen)|spazieren|Wir gehen oft spazieren.|A2
salvar, armazenar|speichern|Vergiss nicht, die Datei zu speichern.|A2
pular|springen|Die Kinder springen auf dem Trampolin.|A2
enfiar, colocar|stecken|Steck den Schlüssel in die Tasche.|A2
colocar (em pé)|stellen|Stell die Flasche auf den Tisch.|A2
estressar (alguém ou a si mesmo)|stressen|Die Arbeit stresst mich sehr.|A2
procurar (por)|suchen (nach D)|Ich suche nach meinem Handy.|A2
participar de|teilnehmen an D|Möchten Sie am Kurs teilnehmen?|A2
testar|testen|Wir müssen das neue Programm testen.|A2
carregar, usar (roupa)|tragen|Sie trägt eine schöne Kette.|A2
separar-se|trennen (sich)|Sie haben sich getrennt.|A2
secar|trocknen|Die Wäsche trocknet schnell in der Sonne.|A2
sonhar com|träumen von D|Ich träume von einem Urlaub.|A2
encontrar, acertar|treffen|Wir treffen uns um 8 Uhr.|A2
pisar, chutar, entrar (formal)|treten|Er tritt die Tür auf.|A2
trocar (dinheiro, mercadoria)|umtauschen|Ich möchte Euro in Dollar umtauschen.|A2
mudar-se (de residência), trocar de roupa|umziehen|Wir sind letztes Jahr umgezogen.|A2
esquecer|vergessen|Ich habe meinen Schlüssel vergessen.|A2
casar (alguém), estar casado (com sein)|verheiraten|Sie ist verheiratet.|A2
mudar, alterar|verändern|Das Leben verändert sich schnell.|A2
vender|verkaufen|Ich möchte mein altes Auto verkaufen.|A2
estar apaixonado por|verliebt sein in A|Er ist in sie verliebt.|A2
noivar-se|verloben (sich)|Sie haben sich verlobt.|A2
perder|verlieren|Ich habe meinen Schlüssel verloren.|A2
perder (oportunidade, transporte)|verpassen|Ich habe den Bus verpasst.|A2
prometer|versprechen|Ich verspreche es dir.|A2
tentar|versuchen|Ich werde es versuchen.|A2
prestar, fazer (exame)|ablegen|Er muss eine Prüfung ablegen.|B1
recusar, rejeitar|ablehnen|Sie hat mein Angebot abgelehnt.|B1
desligar, relaxar|abschalten|Ich muss nach der Arbeit abschalten.|B1
fechar com chave, concluir|abschließen|Vergiss nicht, die Tür abzuschließen.|B1
cancelar|absagen|Wir müssen den Termin absagen.|B1
concluir, cursar|absolvieren|Sie hat ihr Studium erfolgreich absolviert.|B1
votar, coordenar|abstimmen|Wir müssen über den Vorschlag abstimmen.|B1
dividir, separar|abteilen|Man kann den Raum abteilen.|B1
secar (louça, corpo)|abtrocknen|Bitte trockne das Geschirr ab.|B1
aguardar|abwarten|Wir müssen die Ergebnisse abwarten.|B1
agir, atuar|agieren|Der Schauspieler agiert sehr überzeugend.|B1
mudar, alterar|ändern|Sie sollten Ihre Meinung ändern.|B1
reconhecer, aceitar|anerkennen|Man muss seine Fehler anerkennen.|B1
começar, iniciar|anfangen|Der Film fängt um 20 Uhr an.|B1
vestir, ter (algo vestido)|anhaben|Sie hat ein schönes Kleid an.|B1
parar (veículo), segurar|anhalten|Der Bus hält an der nächsten Haltestelle.|B1
aceitar, supor|annehmen|Ich nehme an, du hast Hunger.|B1
experimentar (roupa)|anprobieren|Möchten Sie diese Hose anprobieren?|B1
ligar (aparelho), colocar (em fila)|anstellen|Bitte stell den Fernseher an.|B1
almejar, aspirar a|anstreben|Sie strebt eine Karriere als Ärztin an.|B1
desistir, postar, entregar|aufgeben|Ich gebe nicht auf!|B1
guardar, levantar, cancelar|aufheben|Heb bitte den Stift auf.|B1
desligar (telefone), colocar|auflegen|Er hat einfach aufgelegt.|B1
gravar, acolher, absorver|aufnehmen|Wir nehmen ein Lied auf.|B1
formar, treinar|ausbilden|Die Firma bildet neue Mitarbeiter aus.|B1
desempacotar|auspacken|Ich muss noch meine Koffer auspacken.|B1
ser suficiente|ausreichen|Das Geld reicht nicht aus.|B1
esgotar (venda)|ausverkaufen|Das Konzert ist ausverkauft.|B1
observar, prestar atenção|beachten|Bitte beachten Sie die Regeln.|B1
editar, processar|bearbeiten|Ich muss diesen Text bearbeiten.|B1
ameaçar|bedrohen|Der Klimawandel bedroht unsere Zukunft.|B1
influenciar|beeinflussen|Man sollte sich nicht so leicht beeinflussen lassen.|B1
promover, transportar|befördern|Er wurde befördert.|B1
justificar, fundamentar|begründen|Können Sie Ihre Meinung begründen?|B1
começar com|beginnen mit D|Wir beginnen mit dem Unterricht.|B1
ofender|beleidigen|Er hat mich beleidigt.|B1
notar, perceber|bemerken|Ich habe seinen Fehler bemerkt.|B1
aconselhar|beraten|Der Experte berät uns.|B1
nomear, invocar|berufen|Er wurde in den Vorstand berufen.|B1
tocar, sentir|berühren|Man darf die Kunstwerke nicht berühren.|B1
ocupar-se com|beschäftigen (sich mit D)|Ich beschäftige mich mit Sport.|B1
decidir, resolver|beschließen|Wir haben beschlossen, umzuziehen.|B1
consistir em, ser composto de|bestehen aus D|Das Team besteht aus fünf Personen.|B1
determinar, definir|bestimmen|Du bestimmst, was wir machen.|B1
orar, rezar|beten|Sie betet jeden Abend.|B1
cuidar, supervisionar|betreuen|Sie betreut alte Menschen.|B1
mover-se, exercitar-se|bewegen (sich)|Man sollte sich regelmäßig bewegen.|B1
causar, provocar, efetuar|bewirken|Seine Worte haben viel bewirkt.|B1
oferecer|bieten|Das Restaurant bietet viele Gerichte.|B1
formar, construir|bilden|Der Schnee bildet eine dicke Schicht.|B1
bloquear|blocken|Der Torwart konnte den Ball blocken.|B1
florir|blühen|Die Blumen blühen im Frühling.|B1
quebrar, vomitar|brechen|Er hat sich das Bein gebrochen.|B1
queimar, arder|brennen|Das Feuer brennt.|B1
escovar|bürsten|Sie bürstet ihr Haar.|B1
abafar, cozinhar no vapor|dämpfen|Das Gemüse wird gedämpft.|B1
durar|dauern|Wie lange dauert der Flug?|B1
servir|dienen|Dieses Werkzeug dient zum Öffnen von Flaschen.|B1
girar, virar|drehen|Dreh dich bitte um.|B1
apertar, empurrar|drücken|Drück den Knopf.|B1
tratar por du (você informal)|duzen|Wir duzen uns hier in der Firma.|B1
reprovar, falhar em (exame)|durchfallen durch A|Er ist durch die Prüfung gefallen.|B1
anunciar, comunicar por alto-falante|durchsagen|Die Ankunftszeit wurde durchgesagt.|B1
casar-se com (arcaico, formal)|ehelichen|Er ehelichte seine Jugendliebe.|B1
apressar-se, ter pressa|eilen|Ich muss eilen, sonst komme ich zu spät.|B1
ocorrer, vir à mente|einfallen|Mir ist eine gute Idee eingefallen.|B1
congelar|einfrieren|Man kann Brot einfrieren.|B1
introduzir, importar|einführen|Dieses neue Produkt wird im Herbst eingeführt.|B1
empacotar, embrulhar|einpacken|Ich muss noch meine Geschenke einpacken.|B1
apresentar, submeter|einreichen|Bitte reichen Sie die Unterlagen bis Freitag ein.|B1
mobiliar, organizar, instalar|einrichten|Wir richten gerade unsere neue Wohnung ein.|B1
matricular-se, registrar|einschreiben|Sie möchte sich für den Kurs einschreiben.|B1
servir (bebida)|einschenken|Soll ich dir noch einen Wein einschenken?|B1
contratar, ajustar, parar|einstellen|Die Firma stellt neue Mitarbeiter ein.|B1
entrar em (organização, partido)|eintreten in A|Er ist in den Verein eingetreten.|B1
imigrar|einwandern|Viele Menschen wandern nach Deutschland ein.|B1
jogar (carta em caixa de correio), inserir (moeda)|einwerfen|Bitte werfen Sie den Brief in den Briefkasten ein.|B1
possibilitar|ermöglichen|Technologie ermöglicht uns vieles.|B1
alimentar-se|ernähren (sich)|Man sollte sich gesund ernähren.|B1
alcançar, conseguir, chegar|erreichen|Ich konnte ihn telefonisch nicht erreichen.|B1
dificultar|erschweren|Der Regen erschwert die Fahrt.|B1
educar|erziehen|Sie erzieht ihre Kinder liebevoll.|B1
alcançar, obter (resultado, meta)|erzielen|Er hat ein gutes Ergebnis erzielt.|B1
existir|exisitieren|Viele alte Traditionen existieren noch.|B1
derrubar (árvore), julgar|fällen|Der Förster muss Bäume fällen.|B1
pegar, capturar|fangen|Der Hund fängt den Ball.|B1
pegar, segurar, compreender|fassen|Ich kann es nicht fassen!|B1
fixar, determinar|festlegen|Wir müssen den Termin festlegen.|B1
prender, deter|festnehmen|Die Polizei hat den Dieb festgenommen.|B1
constatar, verificar|feststellen|Er stellte fest, dass die Tür offen war.|B1
filmar|filmen|Sie filmen eine Dokumentation.|B1
pescar|fischen|Wir fischen im Fluss.|B1
fluir, correr (água)|fließen|Das Wasser fließt schnell.|B1
seguir|folgen|Folgen Sie mir bitte!|B1
promover, apoiar, extrair|fördern|Die Regierung fördert kleine Unternehmen.|B1
exigir, reivindicar|fordern|Die Arbeiter fordern höhere Löhne.|B1
fotografar|fotografieren|Sie fotografiert gern Landschaften.|B1
fritar (em óleo quente)|frittieren|Pommes frites werden frittiert.|B1
encher|füllen|Bitte füllen Sie das Glas mit Wasser.|B1
cozinhar (em geral, até o ponto certo)|garen|Das Fleisch muss noch garen.|B1
usar, utilizar (formal, antiquado)|gebrauchen|Man kann dieses alte Gerät noch gebrauchen.|B1
acontecer, ocorrer|geschehen|Was ist geschehen?|B1
acostumar-se a|gewöhnen (sich an A)|Ich muss mich an das neue Wetter gewöhnen.|B1
regar, derramar, fundir|gießen|Bitte gieß die Blumen.|B1
fundar, estabelecer|gründen|Sie haben ein neues Unternehmen gegründet.|B1
dividir-se pela metade, reduzir-se pela metade|halbieren (sich)|Die Zahl der Teilnehmer hat sich halbiert.|B1
agir, negociar, lidar com|handeln|Man muss schnell handeln.|B1
levantar|heben|Er hebt das Paket hoch.|B1
desafiar|herausfordern|Diese Aufgabe fordert mich heraus.|B1
produzir, fabricar|herstellen|Diese Firma stellt Autos her.|B1
deitar-se|hinlegen|Ich muss mich kurz hinlegen.|B1
sentar-se|hinsetzen|Setz dich bitte hierhin.|B1
passar fome|hungern|Viele Menschen hungern in dieser Region.|B1
informar-se com (alguém) sobre (algo)|informieren (sich bei D über A)|Ich muss mich bei ihm über den Kurs informieren.|B1
instalar|installieren|Wir müssen die neue Software installieren.|B1
internacionalizar|internationalisieren|Das Unternehmen möchte seine Produkte internationalisieren.|B1
isolar-se de|isolieren (sich von D)|Manchmal möchte ich mich von allen isolieren.|B1
pentear|kämmen|Sie kämmt sich jeden Morgen die Haare.|B1
lutar, combater|kämpfen|Sie kämpfen für ihre Rechte.|B1
encurtar, reduzir|kürzen|Man muss den Text kürzen.|B1
demitir, rescindir, renunciar|kündigen|Er hat seine Wohnung gekündigt.|B1
lamber|lecken an D|Der Hund leckt an seiner Pfote.|B1
sofrer de (doença) / sofrer com (situação)|leiden an A / unter D|Sie leidet an einer Erkältung.|B1
realizar, proporcionar|leisten|Er leistet gute Arbeit.|B1
liderar, dirigir, conduzir|leiten|Sie leitet ein großes Team.|B1
ensinar|lehren|Er lehrt Englisch an der Universität.|B1
elogiar|loben|Die Lehrerin lobt die Schüler.|B1
valer a pena|lohnen (sich)|Es lohnt sich, früh aufzustehen.|B1
mentir|lügen|Du sollst nicht lügen.|B1
gerenciar|managen|Sie managt ein internationales Projekt.|B1
avisar, reportar, registrar|melden|Bitte melden Sie sich am Empfang.|B1
alugar|mieten|Wir möchten ein Auto mieten.|B1
mobilizar|mobilisieren|Die neue Kampagne soll die Wähler mobilisieren.|B1
modernizar|modernisieren|Die alte Küche wird modernisiert.|B1
mobiliar|möblieren|Die Wohnung ist komplett möbliert.|B1
pensar sobre|nachdenken über A|Ich muss über dein Angebot nachdenken.|B1
reabastecer, recarregar|nachfüllen|Kannst du bitte den Drucker nachfüllen?|B1
usar, aproveitar|nutzen|Nutzen Sie die Gelegenheit!|B1
abrir|öffnen|Das Geschäft öffnet um 9 Uhr.|B1
assobiar|pfeifen|Er pfeift ein Lied.|B1
plantar|pflanzen|Wir pflanzen Bäume im Garten.|B1
colher (flores, frutas)|pflücken|Die Kinder pflücken Blumen.|B1
filosofar|philosophieren|Sie sitzen oft zusammen und philosophieren über das Leben.|B1
premiar|prämieren|Der beste Film wurde prämiert.|B1
calcular, contar|rechnen|Kannst du schnell rechnen?|B1
reduzir|reduzieren|Wir müssen den Müll reduzieren.|B1
regularmente (usado como advérbio, mas pode implicar ação regular)|regelmäßig|Man sollte regelmäßig Sport treiben.|B1
limpar, purificar|reinigen|Die Kleidung muss gereinigt werden.|B1
reclamar|reklamieren|Ich möchte diese Ware reklamieren.|B1
salvar|retten|Die Feuerwehr konnte das Kind retten.|B1
arriscar|riskieren|Er riskiert alles für seinen Traum.|B1
rolar|rollen|Der Ball rollt den Hügel hinunter.|B1
dizer|sagen|Was hast du gesagt?|B1
salgar|salzen|Bitte salzen Sie das Essen.|B1
conseguir, criar, dar conta|schaffen|Ich schaffe das!|B1
estimar, valorizar|schätzen|Ich schätze deine Hilfe sehr.|B1
brilhar, parecer|scheinen|Die Sonne scheint heute.|B1
empurrar, deslizar|schieben|Schieb den Stuhl näher heran.|B1
ruim, grave (usado com sein)|schlimm|Das ist nicht so schlimm.|B1
forçar para fora, empurrar|abdrängen|Das Auto wurde von der Straße abgedrängt.|B2
partir (veículo), desviar|abfahren|Der Zug ist pünktlich abgefahren.|B2
sacar (dinheiro), decolar|abheben|Ich möchte Geld vom Konto abheben.|B2
interceptar, escutar clandestinamente|abhören|Der Geheimdienst hat seine Telefongespräche abgehört.|B2
substituir, descolar-se de|ablösen von D|Der neue Chef löst den alten ab.|B2
remover (veículo), rebocar|abschleppen|Mein Auto wurde abgeschleppt.|B2
cortar, obter (resultado)|abschneiden|Er hat bei der Prüfung gut abgeschnitten.|B2
garantir, proteger|absichern|Man muss die Baustelle absichern.|B2
dividir, separar|abteilen|Der Raum kann abgeteilt werden.|B2
atropelar (com veículo), iniciar a marcha|anfahren|Der Busfahrer hat eine Person angefahren.|B2
informar, indicar, vangloriar-se|angeben|Bitte geben Sie Ihre Daten an.|B2
liderar, citar|anführen|Er führte die Gruppe an.|B2
persistente (usado como advérbio)|anhaltend|Der Regen hält anhaltend an.|B2
impulsionar, estimular|ankurbeln|Die Wirtschaft muss angekurbelt werden.|B2
afivelar (cinto de segurança)|anschnallen|Bitte schnallen Sie sich an.|B2
represar, acumular|anstauen|Das Wasser wird angestaut.|B2
instruir, designar|anweisen|Er wurde angewiesen, die Arbeit zu erledigen.|B2
expandir, aprimorar, desmontar|ausbauen|Wir wollen unser Geschäft ausbauen.|B2
ser cancelado, cair (cabelo), faltar|ausfallen|Der Unterricht ist heute ausgefallen.|B2
equipar com|ausstatten mit D|Das Zimmer ist mit modernen Möbeln ausgestattet.|B2
extinguir-se|aussterben|Viele Tierarten sterben aus.|B2
emitir, expelir|ausstoßen|Fabriken stoßen viel CO2 aus.|B2
expandir-se, alargar-se|ausweiten (sich)|Der Konflikt könnte sich ausweiten.|B2
processar, editar|bearbeiten|Ich muss das Dokument bearbeiten.|B2
reivindicar, exigir, sobrecarregar|beanspruchen|Die Arbeit beansprucht viel Zeit.|B2
trafegar, navegar (por);|befahren|Dieses Gebiet darf nicht befahren werden.|B2
promover, transportar|befördern|Er wurde zum Abteilungsleiter befördert.|B2
temer, recear|befürchten|Ich befürchte das Schlimmste.|B2
compreender, entender|begreifen|Ich begreife das Problem nicht.|B2
confessar, declarar-se|bekennen (sich)|Er hat sich zu seiner Schuld bekannt.|B2
onerar, carregar, poluir|belasten|Der Verkehr belastet die Umwelt.|B2
incomodar, assediar|belästigen|Er hat sie belästigt.|B2
necessitar, precisar|benötigen|Wir benötigen mehr Informationen.|B2
dar nota, classificar|benoten|Der Lehrer benotet die Schüler.|B2
esconder, conter, resgatar|bergen|Die Truhe birgt einen Schatz.|B2
ocupar, preencher (cargo);|besetzen|Die Stelle ist bereits besetzt.|B2
eliminar, remover|beseitigen|Man muss das Problem beseitigen.|B2
confirmar, comprovar|bestätigen|Bitte bestätigen Sie den Empfang der E-Mail.|B2
ativar-se, exercer (atividade);|betätigen (sich)|Er betätigt sich politisch.|B2
operar, praticar, exercer|betreiben|Er betreibt ein kleines Geschäft.|B2
colocar na cama, encaixar|betten|Sie bettete das Baby sanft in sein Bett.|B2
preservar, guardar|bewahren|Man muss die Natur bewahren.|B2
avaliar, julgar|bewerten|Der Professor bewertet die Arbeiten.|B2
conceder, autorizar|bewilligen|Der Antrag wurde bewilligt.|B2
amarrar, ligar, unir|binden|Er bindet seine Schuhe.|B2
soprar|blasen|Der Wind bläst stark.|B2
relampejar, piscar (radar)|blitzen|Es blitzt am Himmel.|B2
bloquear|blockieren|Die Straße ist blockiert.|B2
fabricar (cerveja), preparar (tempestade)|brauen|Er braut sein eigenes Bier.|B2
aplicar creme|cremen|Sie cremt sich jeden Morgen ein.|B2
amortecer, abafar, cozinhar a vapor|dämpfen|Der Vorhang dämpft das Licht.|B2
cobrir, pôr a mesa|decken|Sie deckt den Tisch für das Abendessen.|B2
realizar, executar|durchführen|Wir werden eine Umfrage durchführen.|B2
atravessar correndo, percorrer, passar por|durchlaufen|Er hat eine harte Schule durchlaufen.|B2
aceitar, atender (a), responder (a)|eingehen auf A|Er geht auf ihre Wünsche ein.|B2
intervir em|eingreifen in A|Die Regierung muss eingreifen.|B2
estimar, avaliar|einschätzen|Ich kann die Situation nicht einschätzen.|B2
matricular (criança) na escola|einschulen|Die Kinder werden im Herbst eingeschult.|B2
influenciar, agir sobre|einwirken auf A|Das Medikament wirkt auf den Körper ein.|B2
terminar, finalizar|enden|Die Vorstellung endet um 22 Uhr.|B2
